route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
L1,Feiners-26,Fein26_1206_17,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_01,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_20,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1206_21,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_24,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1206_25,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_04,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1206_05,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_08,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1206_09,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_12,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1207_13,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_16,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1207_17,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_01,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_20,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1207_21,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_24,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1207_25,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_04,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1207_05,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1207_08,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1207_09,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_12,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1208_13,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_16,Montjuïc,Destí Montjuic,L1-1,1,1
